
time 02h 58m 24s, episodes 9231, frames 4.2M, mean epr 0.00, run loss -2.89
time 02h 59m 25s, episodes 9286, frames 4.2M, mean epr 0.00, run loss -2.95
time 03h 00m 25s, episodes 9336, frames 4.3M, mean epr 0.00, run loss -2.95
time 03h 01m 26s, episodes 9388, frames 4.3M, mean epr 0.00, run loss -3.00
time 03h 02m 27s, episodes 9447, frames 4.3M, mean epr 0.00, run loss -2.96
time 03h 03m 27s, episodes 9506, frames 4.3M, mean epr 0.00, run loss -2.90
time 03h 04m 28s, episodes 9562, frames 4.3M, mean epr 0.00, run loss -2.87
time 03h 05m 28s, episodes 9610, frames 4.3M, mean epr 0.00, run loss -2.93
time 03h 06m 29s, episodes 9662, frames 4.3M, mean epr 0.00, run loss -3.06
time 03h 07m 29s, episodes 9716, frames 4.3M, mean epr 0.00, run loss -2.98
time 03h 08m 29s, episodes 9776, frames 4.4M, mean epr 0.00, run loss -2.87
time 03h 09m 30s, episodes 9828, frames 4.4M, mean epr 0.00, run loss -2.89
time 03h 10m 30s, episodes 9874, frames 4.4M, mean epr 0.00, run loss -2.96
time 03h 11m 30s, episodes 9931, frames 4.4M, mean epr 0.00, run loss -2.95
time 03h 12m 32s, episodes 9982, frames 4.4M, mean epr 0.00, run loss -3.08
time 03h 13m 33s, episodes 10041, frames 4.4M, mean epr 0.00, run loss -2.90
time 03h 14m 33s, episodes 10098, frames 4.4M, mean epr 0.00, run loss -2.81
time 03h 15m 33s, episodes 10146, frames 4.4M, mean epr 0.00, run loss -3.00
time 03h 16m 33s, episodes 10193, frames 4.5M, mean epr 0.00, run loss -2.99
time 03h 17m 34s, episodes 10246, frames 4.5M, mean epr 0.00, run loss -3.06
time 03h 18m 34s, episodes 10297, frames 4.5M, mean epr 0.00, run loss -3.08
time 03h 19m 35s, episodes 10346, frames 4.5M, mean epr 0.00, run loss -3.23
